,0,1,2,3,4,5,6
0,600050,2021-08-25 11:12:06,http://finance.eastmoney.com/a/202108252063520827.html,安信证券维持中国联通买入评级：紧抓数字化转型新机遇 产业互联网业务引领增长 目标价6元,"

安信证券08月25日发布研报称，维持中国联通(600050.SH，最新价：4.13元)买入评级，目标价格为6.00元。评级理由主要包括：1)上半年业绩超预期，营收利润提速；2)5G引领移动业务规模发展，5G渗透率提升，ARPU值延续增长态势；3)产业互联网业务持续快速增长，企业数字化转型空间广阔；4)共建共享成效显著，资本开支平稳增长；5)自由现金流持续改善，首次派发中期股息，提高全年派息率。风险提示：公司产业互联网业务发展不及预期，公司与中国电信共建共享效果不及预期，公司ARPU值提升不及预期，DDM模型参数假设风险，分拆上市进度不及预期。
AI点评：中国联通近一个月获得9份券商研报关注，买入7家，增持2家，平均目标价为6元，与最新价4.13元相比，高1.87元，目标均价涨幅45.28%。
",[1],18
1,600050,2021-08-25 10:55:56,http://stock.eastmoney.com/a/202108252063467133.html,安信证券维持中国联通买入评级 目标价6元,"

点击查看PDF原文
安信证券8月25日发布研报，维持中国联通买入评级，目标价位6元。截至报告日，公司最新收盘价为4.15元，较目标价有44.58%的上行空间。安信证券预测，中国联通2021年归母净利润65.12亿元，同比增长17.95%。
注：数据获取自研报正文。
中国联通近一个月获得14份券商研报关注，平均目标价为5.72元。按研报发布日期倒序，最新五家券商研报数据如下表所示：
免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。
",[1],6
2,600050,2021-08-25 07:56:51,http://stock.eastmoney.com/a/202108252062706220.html,中国联通：融资净偿还173.76万元，融资余额24.55亿元（08-24）,"

中国联通融资融券信息显示，2021年8月24日融资净偿还173.76万元；融资余额24.55亿元，较前一日下降0.07%。
融资方面，当日融资买入6638.6万元，融资偿还6812.36万元，融资净偿还173.76万元。融券方面，融券卖出62.2万股，融券偿还42.71万股，融券余量1103.62万股，融券余额4580.03万元。融资融券余额合计25亿元。
免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。
",[1],4
3,600050,2021-08-25 07:43:29,http://stock.eastmoney.com/a/202108252062624779.html,中国联通08月24日获沪股通增持877.62万股,"

08月24日，中国联通获沪股通增持877.62万股，最新持股量为2.34亿股，占公司A股总股本的0.75%。
近五日持股量数据
持股量及股价变动图
免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。
",[1],3
4,600050,2021-08-24 13:40:59,http://finance.eastmoney.com/a/202108242061463636.html,东吴证券：维持中国联通(600050.SH)“买入”评级 智能化转型升级 带动营收持续提高,"

东吴证券发布研究报告称，随着政策利好、5G渗透率稳步向上，中国联通(600050.SH)业绩实现稳步提升，因此将21-23年归母净利润预测从59.1/63.97/69.72亿元上调至79.76/91.31/103.2亿元，对应EPS分别从0.19/0.21/0.22元上调为0.26/0.29/0.33元，当前市值对应PE分别为16/14/13倍，维持“买入”评级。
事件：中国联通2021上半年实现营业收入1641.71亿元，同比增9.16%；归母净利润40.33亿元，同比增20.61%；实现基本每股收益0.13元/股，同比增长21.3%，业绩符合该行预期。
东吴证券主要观点如下：
智能化转型升级，带动营收持续提高
2021年上半年，公司紧抓经济社会数字化、网络化、智能化转型需求，融合发展创新业务和基础业务，实现营业收入1641.71亿元，同比增9.16%；实现归母净利润40.33亿元，同比增20.61%。公司销售毛利率达到26.7%，较2020H2提高0.6pp，销售净利率达到5.59%，较2020H2上升1.47pp。
同时，2017H1-2021H1经营活动产生的现金占营业收入的比例持续保持在30%以上，回款质量好，经营现金流稳定，2021年上半年经营活动产生的现金流量净额为514.15亿元。由于公司规模不断扩大，销售费用、管理费用和财务费用均有上升，总和达到299.05亿元，环比增速为3.39%。
智网科技分拆预案发布，加快提升和释放价值
2021年8月19日中国联通发布拆分预案，拟将间接控股子公司智网科技分拆至A股上市。智网科技业务聚焦于车联网领域，包括智能连接，智能运营及智能应用，本次分拆不会对公司其他业务板块的持续经营构成实质性影响，有利于进一步提升和释放公司整体价值，增强公司及智网科技的创新能力和发展潜力。
派息比率计划提升，加大股东回报
得益于良好的经营情况和强劲的现金流水平，联通红筹公司于2021年8月19日决议开启中期股息派发计划，2021年中期派发每股股利0.12元。中国联通预计2021年全年市场每股股息0.195元。2021年上半年公司实现每股股息增长大于每股盈利增长，并计划提升2021年度全年利润派息率，充分反映公司重视股东权益及回报，共享经营成果。
风险提示：市场竞争持续风险、行业监管政策变化风险、技术升级不及预期风险、5G建设不及预期风险等。
",[1],48
5,600050,2021-08-24 07:48:25,http://stock.eastmoney.com/a/202108242060293940.html,中国联通：融资净偿还2642.43万元，融资余额24.56亿元（08-23）,"

中国联通融资融券信息显示，2021年8月23日融资净偿还2642.43万元；融资余额24.56亿元，较前一日下降1.06%。
融资方面，当日融资买入6682.34万元，融资偿还9324.77万元，融资净偿还2642.43万元。融券方面，融券卖出1万股，融券偿还53.04万股，融券余量1084.13万股，融券余额4488.3万元。融资融券余额合计25.01亿元。
免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。
",[1],4
6,600050,2021-08-24 07:47:17,http://stock.eastmoney.com/a/202108242060288673.html,中国联通08月23日获沪股通增持747.5万股,"

08月23日，中国联通获沪股通增持747.5万股，最新持股量为2.25亿股，占公司A股总股本的0.72%。
近五日持股量数据
持股量及股价变动图
免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。
",[1],3
7,600050,2021-08-23 13:57:10,http://finance.eastmoney.com/a/202108232059218246.html,通信行业周报：三大运营商中报向好 5G助力C端B端共振,"近期，国内三大运营商陆续发布中报，其中，中国移动营收4436 亿， YoY13.8%，净利润591 亿，YoY 6%，中国电信营收2192 亿，YoY 13%，归母净利润 177 亿，YoY 27%，中国联通营收1641 亿元，YoY 9.2%，归母净利润 40 亿，YoY 20.6%。我们认为，随着5G 渗透率逐步提升，将会持续给运营商带来C 端ARPU 值回暖以及B 端的新应用机会，同时结合三大运营商的数字化转型步伐，三大运营商有望在5G 时代，通过B 端C端业务共振，实现经营质量拐点向上。
本周核心推荐：
1。 受益下半年5G 基建的优质公司：中兴通讯000063、新易盛3006282。 高增长的物联网赛道内的优质公司：广和通300638、涂鸦智能(TUYA.N)、美格智能002881、拓邦股份002139。
本周重点推荐：(1)光模块：中际旭创300308、天孚通信300394。(2)通信基建：华正新材603186。(3)运营商：中国联通600050、中国联通H 股0762.HK、中国电信0728.HK、中国移动0941.HK。(4)数据中心：数据港603881、光环新网300383、奥飞数据300738。(5)军工通信：七一二603712。(6)工业互联网：能科股份603859。(7)云视讯：亿联网络300628、会畅通讯300578。
国内三大运营商中报向好。近期，国内三大运营商陆续发布中报，其中，中国移动营收4436 亿， YoY 13.8%，净利润591 亿，YoY 6%，中国电信营收2192 亿，YoY 13%，归母净利润 177 亿，YoY 27%，中国联通实现营收1641 亿元，YoY 9.2%，归母净利润 40 亿，YoY 20.6%。
美国运营商上半年资本支出达385 亿美元同比增长7%。GlobalData 的数据显示，79 家美国运营商的资本支出总额在2021 年上半年同比增长了7.2%，达到385 亿美元，占美国资本支出近70%的三大运营商(AT&T;、Verizon 和T-Mobile)的支出略高于260 亿美元，较2020 年上半年同比增增长61%。T-Mobile US 是主要贡献者，占总增长比约6.9%，其2021 年上半年投资增长了62.5%，达到65 亿美元。
2025年5G手机将占智能机销售收入50%以上。据C114讯，juniper Research的一项新研究发现，到2025 年，5G 兼容智能手机将占到智能手机销售收入的50%以上，从2021 年的1080 亿美元增至3370 亿美元。
风险提示：贸易摩擦加剧，5G 进度不达预期。
",[1],21
8,600050,2021-08-23 10:40:58,http://stock.eastmoney.com/a/202108232058657876.html,东吴证券维持中国联通买入评级 预计2021年净利润同比增长44.46%,"

点击查看PDF原文
东吴证券8月23日发布研报，维持中国联通买入评级。东吴证券预测，中国联通2021年归母净利润79.76亿元，同比增长44.46%。
注：数据获取自研报正文。
中国联通近一个月获得13份券商研报关注，平均目标价为5.65元。按研报发布日期倒序，最新五家券商研报数据如下表所示：
免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。
",[1],5
9,600050,2021-08-23 07:45:11,http://finance.eastmoney.com/a/202108232058080822.html,中国联通加快转型1.5万人推数字化 释放改革红利半年利润总额首破百亿,"
三大电信运营商之一的中国联通(600050.SH)继续高速发展。
8月19日晚间，中国联通披露了2021年半年度报告。上半年，公司营业收入增长提速，达到1641.74亿元，同比增速超过9%，为2014年同期以来最快速度。公司实现的利润总额半年首次突破百亿大关，达到112亿元。归属于上市公司股东的净利润(简称净利润)为40.33亿元，较去年同期增幅超过20%。
长江商报记者发现，自从2017年实施混合所有制改革以来，中国联通持续释放改革红利，经营业绩持续高速增长。2017年，其净利润只有4.26亿元，2020年达55.21亿元，三年增长近12倍。
中国联通的财务状况继续稳定。今年上半年，公司财务费用1.45亿元，而2017年全年高达40.79亿元。
5G时代，中国联通积极推进移动业务转型创新发展，加快市场数字化转型赋能。目前，公司锻炼培养了1.5万人的数字化专业队伍。
半年净利逾40亿加速增长
中国联通经营业绩再现高速增长。
半年报显示，今年上半年，中国联通实现营业收入1641.74亿元，较去年同期的1503.97亿元增长137.77亿元，同比增长9.16%。净利润40.33亿元，去年同期为33.44亿元，同比增加6.89亿元，同比增幅为20.61%。扣除非经常性损益的净利润(简称扣非净利润)41.74亿元，同比增幅为17.90%。
营业收入半年增速9.16%，虽然只是个位数，但是中国联通近年来的最快速度。
2014年上半年，中国联通的营业收入同比增速为3.27%，2015年、2016年、2017年同期均为负增长，2018年同期的增速为7.92%。2019年同期的增幅为-2.78%，再次转入负增长，2020上半年，其增速为3.76%。
今年上半年，公司实现利润总额112.41亿元，首次突破百亿大关，而在2016年上半年，其利润总额只有17.20亿元。
中国联通的净利润也在加速增长。2019年、2020年上半年，公司实现的净利润分别为30.16亿元、33.44亿元，同比增幅为16.75%、10.89%，增速均低于今年上半年。
分季度看，中国联通的业绩较为均衡。今年一二季度，公司实现的营业收入分别为822.72亿元、819.03亿元，同比增长11.44%、6.96%，对应的净利润为16.92亿元、23.41亿元，同比增长21.24%、20.15%。
实际上，自从2017年完成混合所有制改革以来，中国联通不断释放改革红利，经营业绩持续快速增长。
2017年，公司实现净利润4.26亿元，2018年至2020年分别为40.81亿元、49.82亿元、55.21亿元，同比增速为858.28%、22.09%、10.82%。2020年的净利润较2017年增长约12倍。
与净利润对应的经营现金流，中国联通的状况较好。今年上半年，公司经营现金流净额为514.15亿元，去年同期为486.37亿元，同比仍为增长。公司称，其自由现金流持续充沛，达到371亿元，财务实力进一步夯实。中国联通的各项业务均表现为稳步增长。今年上半年，公司移动主营业务收入达到 821 亿元，同比提升 7.3%，增幅创 2018 年全年以来新高。固网宽带接入收入220 亿元，同比增长 0.7%。产业互联网业务收入280.3 亿元，同比增长 23.6%，占整体主营业务收入比例同比提升 2.5 个百分点至18.9%。其中，联通云收入同比增长54.1%，达到76.9 亿元。固网主营业务收入达到人民币 653 亿元，同比增长 7.9%。
研发费用10.24亿增逾50%
经营业绩持续快速增长，与中国联通产业转型升级、改革红利释放不无关系。
中国联通坚持创新转型，纵深推进混改。在5G方面，公司强化 5G 牵引的数字化和差异化创新融合运营，聚合流量平台，创新打造业内领先的联通 APP，月活用户突破 1 亿。移动出账用户由去年同期流失 895 万户大幅改善至净增 465 万户，总量到达 3.1 亿户。移动用户 ARPU 达到 44.4 元，同比提升 8.5%。手机上网总流量增长 27.5%，手机用户月户均数据流量达到约 12.2GB，5G 套餐用户达到 1.13 亿户，5G 套餐用户渗透率达到 36.5%，行业领先。
此外，公司与中国电信紧密合作，新开通 5G 基站 8 万站，双方累计开通 5G 基站超 46 万站，实现一线城市覆盖及网络感知双领先。
中国联通全面推进数字化转型，锻炼培养 1.5 万多人的数字化专业队伍，基本完成公众、政企、网络、数据、管理五大中台核心能力建设和流程优化，构建集中统一的 IT 服务能力和集约一体的创新体系。
公司称，未来，将充分释放混改聚合产业生态、数字化转型领航先行的禀赋优势，通过“数字”生产力叠加“混改”生产关系的双轮驱动，进一步提升市场化运营水平、体系化创新能力，全面塑造差异化发展新优势。
相关数据显示，中国联通的混改效应明显。
从费用端看，2015年，中国联通的财务费用一度高达64.93亿元，2017年还有40.79亿元。2018年至2020年分别为-1.38亿元、7.17亿元、2.27亿元，远远低于混改之前的费用。
销售费用方面，2017年，公司销售费用为340.85亿元，2018年至2020年分别为351.70亿元、335.45亿元、304.61亿元，呈现较为明显的下降区趋势。这一趋势的产生背景是，公司营业收入呈现增长趋势。
与上述两项费用不断减少相比，公司的研发费用则为逐年增加。
2017年，中国联通的研发支出为7.79亿元，2018年至2020年分别为14.19亿元、25.10亿元、45.65亿元，三年增长4.86倍，远远高于当期营业收入增幅。今年上半年，公司研发支出为10.24亿元，同比增长52%。
截至2020年底，中国联通研发人员数量为1.41万人在，占员工总数的5.84%。
",[1],80
